_id,ID,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_COUNTY_FIPS_CODE,STATE_ABBR,ZIP_CODE,REGION,FAC_CLOSED_IND,MAIL_NAME,MAIL_STREET_ADDRESS,MAIL_CITY,MAIL_STATE_ABBR,MAIL_PROVINCE,MAIL_COUNTRY,MAIL_ZIP_CODE,ASGN_FEDERAL_IND,ASGN_AGENCY,FRS_ID,PARENT_CO_DB_NUM,PARENT_CO_NAME,FAC_LATITUDE,FAC_LONGITUDE,PREF_LATITUDE,PREF_LONGITUDE,PREF_ACCURACY,PREF_COLLECT_METH,PREF_DESC_CATEGORY,PREF_HORIZONTAL_DATUM,PREF_SOURCE_SCALE,PREF_QA_CODE,ASGN_PARTIAL_IND,ASGN_PUBLIC_CONTACT,ASGN_PUBLIC_PHONE,ASGN_PUBLIC_PHONE_EXT,ASGN_PUBLIC_CONTACT_EMAIL,BIA_CODE,STANDARDIZED_PARENT_COMPANY,EPA_REGISTRY_ID
4159,15007BKRSTMIDDL,BAKERSTOWN CONTAINER CORP,BOX 51 MIDDLESEX ST,BAKERSTOWN,ALLEGHENY,42003,PA,15007,3,0,BAKERSTOWN CONTAINER CORP,BOX 51 MIDDLESEX ST,BAKERSTOWN,PA,,,15007,C,,,,,403948,795756,40.663333,79.965556,600,UN,UN,1,U,2010,0,LARRY DAVIS   EXT 228,7244437255,,,,,110041017477
4160,15007STHWSMIDDL,EXXONMOBIL LUBRICANTS & PETROLEUM SPECIALTIES CO,1031 MIDDLESEX ST BAKERSTOWN PLANT,BAKERSTOWN,ALLEGHENY,42003,PA,15007,3,1,EXXONMOBIL LUBRICANTS & PETROLEUM SPECIALTIES CO,1031 MIDDLESEX ST BAKERSTOWN PLANT,BAKERSTOWN,PA,,,15007,C,,,001213214,EXXONMOBIL CORP,403950,795805,40.6433,79.931889,5000,C2,UN,1,U,0000,0,RAY RAMIREZ,2814803769,,,,,110000818152
4161,15014LLGHNRIVER,ATI FLAT ROLLED PRODUCTS HOLDINGS LLC,100 RIVER RD,BRACKENRIDGE,ALLEGHENY,42003,PA,15014,3,0,ATI FLAT ROLLED PRODUCTS HOLDINGS LLC,100 RIVER RD,BRACKENRIDGE,PA,,,15014,C,,,949262737,ALLEGHENY TECHNOLOGIES INC,403622,794352,40.606111,79.731111,500,UN,UN,1,U,1010,0,"GILLESPIE,NATALIE C",4123942850,,NATALIE.GILLESPIE@ATIMATERIALS.COM,,ALLEGHENY TECHNOLOGIES INC,110000328734
4162,15017CYTMPMAYER,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,600 MAYER ST,BRIDGEVILLE,ALLEGHENY,42003,PA,15017,3,0,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,600 MAYER ST,BRIDGEVILLE,PA,,,15017,C,,,,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,402152,800604,40.364444,80.101111,11000,UN,UN,1,U,1000,0,JOSHUA M. WARREN,7246144890,,J.WARREN@UNIVSTAINLESS.COM,,UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,110000328743
4163,15017DYNMT600MA,CARPENTER POWDER PRODUCTS INC,682 MAYER ST,BRIDGEVILLE,ALLEGHENY,42003,PA,15017,3,0,CARPENTER POWDER PRODUCTS INC,600 MAYER ST,BRIDGEVILLE,PA,,,15017,C,,,002344315,CARPENTER TECHNOLOGY CORP,0,0,,,,,,,,,0,ADAM J. WILTSE,4122954916,,AWILTSE@CARTECH.COM,,CARPENTER TECHNOLOGY CORP,110000740039
4164,15017FLWSR1885M,FLOWSERVE CORP,1885 MAYVIEW RD,BRIDGEVILLE,ALLEGHENY,42003,PA,15017,3,0,FLOWSERVE CORP,1885 MAYVIEW RD,BRIDGEVILLE,PA,,,15017,C,,,004241550,FLOWSERVE CORP,503350,545710,,,,,,,,,0,CHARLES KRUZAN,4129734830,,CKRUZAN@FLOWSERVE.COM,,FLOWSERVE CORP,110001114455
4165,15017GNRLLMAYER,GE CO. BRIDGEVILLE GLASS PLANT,540 MAYER ST,BRIDGEVILLE,ALLEGHENY,42003,PA,15017,3,2,GE CO. BRIDGEVILLE GLASS PLANT,540 MAYER ST,BRIDGEVILLE,PA,,,15017,C,,,001367960,GENERAL ELECTRIC CO (GE CO),402121,800620,40.365278,80.105556,500,UN,UN,1,U,1010,0,BARRY HALLOCK,8287028382,,BARRYH.HALLOCK@GE.COM,,GENERAL ELECTRIC CO (GE CO),110000328752
4166,15017MTHWS580MA,MATHEWS MARBLE MANUFACTURING,"580 MAYER ST, BLDG 7",BRIDGEVILLE,ALLEGHENY,42003,PA,150172709,3,0,MATHEWS MARBLE MANUFACTURING,"580 MAYER ST, BLDG 7",BRIDGEVILLE,PA,,,15017-2709,C,,,,,402155,800615,40.365278,80.104167,11000,UN,UN,1,U,1000,0,C. E. CLEMENT,4122579522,,,,,110000772931
4167,15017NCSNC3039W,GE IONICS BRIDGEVILLE,3039 WASHINGTON PIKE,BRIDGEVILLE,ALLEGHENY,42003,PA,15017,3,0,GE IONICS BRIDGEVILLE,3039 WASHINGTON PIKE,BRIDGEVILLE,PA,,,15017,C,,,1367960,GE CO,422100,800500,40.351207,80.11398,150,A1,PG,1,J,1000,0,JAMES BAIRD,7247430270,,,,,110000328761
4168,1501WTBCTY6MAYE,TMS INTERNATIONAL LLC,600 MAYER STREET,BRIDGEVILLE,ALLEGHENY,42003,PA,15017,3,0,TMS INTERNATIONAL LLC,600 MAYER ST,BRIDGEVILLE,PA,,,15017,C,,,614394299,TMS INTERNATIONAL CORP,,,,,,,,,,,0,MICHAEL CONNOLLY,2159565618,,MCONNOLLY@TMSINTERNATIONAL.COM,,TMS INTERNATIONAL CORP,110039496863
